------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
       169.019134993,       0.162022226053
       169.222963246,       0.162022644188
        169.46755715,        0.16202314497
       169.761069834,        0.16202374452
       170.113285055,       0.162024462019
       170.535943321,       0.162025320257
       171.043133239,       0.162026346271
       171.651761142,       0.162027572095
       172.382114625,       0.162029035613
       173.258538804,       0.162030781571
        174.31024782,        0.16203286275
       175.572298638,       0.162035341362
        177.08675962,       0.162038290729
       178.904112799,       0.162041797354
       181.084936613,       0.162045963519
        183.70192519,       0.162050910627
       186.842311483,       0.162056783532
       190.610775034,       0.162063756176
       195.132931295,       0.162072038806
       200.559518809,       0.162081886989
       207.071423825,       0.162093612456
       214.885709844,       0.162107595569
       224.262853068,       0.162124299116
       235.515424936,       0.162144283253
       249.018511178,       0.162168222035
       265.222214668,       0.162196922807
       284.666658856,       0.162231350347
       307.999991881,       0.162272657639
       335.999991512,       0.162322224461

