------------------------------------------------------------
 solve prev v1=-0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       144.432862083,    1.08738901545e+16
       144.769535421,    1.08734688468e+16
       145.106208759,    1.08730440268e+16
       145.442882097,    1.08726192068e+16
       145.779555436,    1.08721908532e+16
       146.116228774,    1.08717624996e+16
       146.452902112,    1.08713305907e+16
        146.78957545,    1.08708986819e+16
       147.126248788,    1.08704631957e+16
       147.462922126,    1.08700277094e+16
       147.799595465,    1.08695886234e+16
       148.136268803,    1.08691495374e+16
       148.472942141,    1.08687068287e+16
       148.809615479,      1.086826412e+16
       149.146288817,    1.08678177654e+16
       149.482962156,    1.08673714108e+16
       149.819635494,    1.08669213867e+16
       150.156308832,    1.08664713627e+16
        150.49298217,    1.08660176452e+16
       150.829655508,    1.08655639276e+16
       151.166328847,    1.08651064923e+16
       151.503002185,     1.0864649057e+16
       151.839675523,    1.08641878793e+16
       152.176348861,    1.08637267015e+16
       152.513022199,    1.08632617563e+16
       152.849695537,     1.0862796811e+16
       153.186368876,    1.08623280729e+16
       153.523042214,    1.08618593347e+16
       153.859715552,    1.08613867779e+16
        154.19638889,    1.08609142212e+16
       154.533062228,    1.08604378197e+16
       154.869735567,    1.08599614182e+16
       155.206408905,    1.08594811456e+16
       155.543082243,     1.0859000873e+16
       155.879755581,    1.08585167025e+16
       156.216428919,    1.08580325321e+16
       156.553102258,    1.08575444366e+16
       156.889775596,    1.08570563412e+16
       157.226448934,    1.08565642934e+16
       157.563122272,    1.08560722456e+16
        157.89979561,    1.08555762177e+16
       158.236468949,    1.08550801898e+16
       158.573142287,    1.08545801537e+16
       158.909815625,    1.08540801176e+16
       159.246488963,     1.0853576045e+16
       159.583162301,    1.08530719723e+16
       159.919835639,    1.08525638344e+16
       160.256508978,    1.08520556964e+16
       160.593182316,    1.08515434642e+16
       160.929855654,     1.0851031232e+16
       161.266528992,    1.08505148761e+16
        161.60320233,    1.08499985202e+16
       161.939875669,     1.0849478011e+16
       162.276549007,    1.08489575018e+16
       162.613222345,    1.08484328093e+16
       162.949895683,    1.08479081168e+16
       163.286569021,    1.08473792108e+16
        163.62324236,    1.08468503047e+16
       163.959915698,    1.08463171545e+16
       164.296589036,    1.08457840043e+16
       164.633262374,     1.0845246579e+16
       164.969935712,    1.08447091538e+16
        165.30660905,    1.08441674222e+16
       165.643282389,    1.08436256907e+16
       165.979955727,    1.08430796214e+16
       166.316629065,     1.0842533552e+16
       166.653302403,    1.08419831131e+16
       166.989975741,    1.08414326742e+16
        167.32664908,    1.08408778335e+16
       167.663322418,    1.08403229928e+16
       167.999995756,    1.08397637179e+16
       168.336669094,     1.0839204443e+16
       168.673342432,    1.08386407013e+16
       169.010015771,    1.08380769595e+16
       169.346689109,    1.08375087177e+16
       169.683362447,     1.0836940476e+16
       170.020035785,     1.0836367701e+16
       170.356709123,    1.08357949259e+16
       170.693382461,    1.08352175839e+16
         171.0300558,    1.08346402419e+16
       171.366729138,     1.0834058299e+16
       171.703402476,    1.08334763561e+16
       172.040075814,    1.08328897781e+16
       172.376749152,       1.08323032e+16
       172.713422491,    1.08317119523e+16
       173.050095829,    1.08311207045e+16
       173.386769167,    1.08305247521e+16
       173.723442505,    1.08299287998e+16
       174.060115843,    1.08293281077e+16
       174.396789182,    1.08287274157e+16
        174.73346252,    1.08281219484e+16
       175.070135858,    1.08275164811e+16
       175.406809196,    1.08269062029e+16
       175.743482534,    1.08262959247e+16
       176.080155872,    1.08256807994e+16
       176.416829211,    1.08250656742e+16
       176.753502549,    1.08244456655e+16
       177.090175887,    1.08238256568e+16
       177.426849225,    1.08232007281e+16
       177.763522563,    1.08225757993e+16
       178.100195902,    1.08219459135e+16
        178.43686924,    1.08213160277e+16
       178.773542578,    1.08206811475e+16
       179.110215916,    1.08200462673e+16
       179.446889254,    1.08194063552e+16
       179.783562593,    1.08187664431e+16
       180.120235931,    1.08181214612e+16
       180.456909269,    1.08174764792e+16
       180.793582607,    1.08168263892e+16
       181.130255945,    1.08161762992e+16
       181.466929283,    1.08155210626e+16
       181.803602622,     1.0814865826e+16
        182.14027596,    1.08142054041e+16
       182.476949298,    1.08135449821e+16
       182.813622636,    1.08128793357e+16
       183.150295974,    1.08122136892e+16
       183.486969313,    1.08115427788e+16
       183.823642651,    1.08108718683e+16
       184.160315989,    1.08101956542e+16
       184.496989327,    1.08095194401e+16
       184.833662665,    1.08088378822e+16
       185.170336004,    1.08081563243e+16
       185.507009342,    1.08074693822e+16
        185.84368268,    1.08067824402e+16
       186.180356018,    1.08060900733e+16
       186.517029356,    1.08053977064e+16
       186.853702695,    1.08046998737e+16
       187.190376033,     1.0804002041e+16
       187.527049371,    1.08032987011e+16
       187.863722709,    1.08025953612e+16
       188.200396047,    1.08018864725e+16
       188.537069385,    1.08011775838e+16
       188.873742724,    1.08004631043e+16
       189.210416062,    1.07997486249e+16
         189.5470894,    1.07990285124e+16
       189.883762738,    1.07983083999e+16
       190.220436076,    1.07975826118e+16
       190.557109415,    1.07968568237e+16
       190.893782753,    1.07961253171e+16
       191.230456091,    1.07953938104e+16
       191.567129429,     1.0794656542e+16
       191.903802767,    1.07939192735e+16
       192.240476106,    1.07931761997e+16
       192.577149444,    1.07924331259e+16
       192.913822782,    1.07916842029e+16
        193.25049612,    1.07909352799e+16
       193.587169458,    1.07901804633e+16
       193.923842796,    1.07894256468e+16
       194.260516135,    1.07886648923e+16
       194.597189473,    1.07879041378e+16
       194.933862811,    1.07871374004e+16
       195.270536149,     1.0786370663e+16
       195.607209487,    1.07855978975e+16
       195.943882826,     1.0784825132e+16
       196.280556164,    1.07840462928e+16
       196.617229502,    1.07832674537e+16
        196.95390284,     1.0782482495e+16
       197.290576178,    1.07816975364e+16
       197.627249517,     1.0780906412e+16
       197.963922855,    1.07801152876e+16
       198.300596193,    1.07793179509e+16
       198.637269531,    1.07785206142e+16
       198.973942869,    1.07777170184e+16
       199.310616207,    1.07769134226e+16
       199.647289546,    1.07761035204e+16
       199.983962884,    1.07752936182e+16
       200.320636222,     1.0774477362e+16
        200.65730956,    1.07736611058e+16
       200.993982898,    1.07728384478e+16
       201.330656237,    1.07720157897e+16
       201.667329575,    1.07711866815e+16
       202.004002913,    1.07703575734e+16
       202.340676251,    1.07695219664e+16
       202.677349589,    1.07686863595e+16
       203.014022928,    1.07678442049e+16
       203.350696266,    1.07670020503e+16
       203.687369604,    1.07661532987e+16
       204.024042942,    1.07653045471e+16
        204.36071628,    1.07644491489e+16
       204.697389618,    1.07635937506e+16
       205.034062957,    1.07627316558e+16
       205.370736295,    1.07618695609e+16
