------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
       24.2404803496,        64.4662680992
       24.5771536877,        64.4662680992
       24.9138270259,        64.4662680992
       25.2505003641,        64.4662680992
       25.5871737023,        64.4662680992
       25.9238470405,        64.4662680992
       26.2605203787,        64.4662680992
       26.5971937169,        64.4662680992
       26.9338670551,        64.4662680992
       27.2705403933,        64.4662680992
       27.6072137314,        64.4662680992
       27.9438870696,        64.4662680992
       28.2805604078,        64.4662680992
        28.617233746,        64.4662680992
       28.9539070842,        64.4662680992
       29.2905804224,        64.4662680992
       29.6272537606,        64.4662680992
       29.9639270988,        64.4662680992
       30.3006004369,        64.4662680992
       30.6372737751,        64.4662680992
       30.9739471133,        64.4662680992
       31.3106204515,        64.4662680992
       31.6472937897,        64.4662680992
       31.9839671279,        64.4662680992
       32.3206404661,        64.4662680992
       32.6573138043,        64.4662680992
       32.9939871425,        64.4662680992
       33.3306604806,        64.4662680992
       33.6673338188,        64.4662680992
        34.004007157,        64.4662680992
       34.3406804952,        64.4662680992
       34.6773538334,        64.4662680992
       35.0140271716,        64.4662680992
       35.3507005098,        64.4662680992
        35.687373848,        64.4662680992
       36.0240471861,        64.4662680992
       36.3607205243,        64.4662680992
       36.6973938625,        64.4662680992
       37.0340672007,        64.4662680992
       37.3707405389,        64.4662680992
       37.7074138771,        64.4662680992
       38.0440872153,        64.4662680992
       38.3807605535,        64.4662680992
       38.7174338917,        64.4662680992
       39.0541072298,        64.4662680992
        39.390780568,        64.4662680992
       39.7274539062,        64.4662680992
       40.0641272444,        64.4662680992
       40.4008005826,        64.4662680992
       40.7374739208,        64.4662680992
        41.074147259,        64.4662680992
       41.4108205972,        64.4662680992
       41.7474939353,        64.4662680992
       42.0841672735,        64.4662680992
       42.4208406117,        64.4662680992
       42.7575139499,        64.4662680992
       43.0941872881,        64.4662680992
       43.4308606263,        64.4662680992
       43.7675339645,        64.4662680992
       44.1042073027,        64.4662680992
       44.4408806409,        64.4662680992
        44.777553979,        64.4662680992
       45.1142273172,        64.4662680992
       45.4509006554,        64.4662680992
       45.7875739936,        64.4662680992
       46.1242473318,        64.4662680992
         46.46092067,        64.4662680992
       46.7975940082,        64.4662680992
       47.1342673464,        64.4662680992
       47.4709406846,        64.4662680992
       47.8076140227,        64.4662680992
       48.1442873609,        64.4662680992
       48.4809606991,        64.4662680992
       48.8176340373,        64.4662680992
       49.1543073755,        64.4662680992
       49.4909807137,        64.4662680992
       49.8276540519,        64.4662680992
       50.1643273901,        64.4662680992
       50.5010007282,        64.4662680992
       50.8376740664,        64.4662680992
       51.1743474046,        64.4662680992
       51.5110207428,        64.4662680992
        51.847694081,        64.4662680992
       52.1843674192,        64.4662680992
       52.5210407574,        64.4662680992
       52.8577140956,        64.4662680992
       53.1943874338,        64.4662680992
       53.5310607719,        64.4662680992
       53.8677341101,        64.4662680992
       54.2044074483,        64.4662680992
       54.5410807865,        64.4662680992
       54.8777541247,        64.4662680992
       55.2144274629,        64.4662680992
       55.5511008011,        64.4662680992
       55.8877741393,        64.4662680992
       56.2244474774,        64.4662680992
       56.5611208156,        64.4662680992
       56.8977941538,        64.4662680992
        57.234467492,        64.4662680992
       57.5711408302,        64.4662680992
       57.9078141684,        64.4662680992
       58.2444875066,        64.4662680992
       58.5811608448,        64.4662680992
        58.917834183,        64.4662680992
       59.2545075211,        64.4662680992
       59.5911808593,        64.4662680992
       59.9278541975,        64.4662680992
       60.2645275357,        64.4662680992
       60.6012008739,        64.4662680992
       60.9378742121,        64.4662680992
       61.2745475503,        64.4662680992
       61.6112208885,        64.4662680992
       61.9478942266,        64.4662680992
       62.2845675648,        64.4662680992
        62.621240903,        64.4662680992
       62.9579142412,        64.4662680992
       63.2945875794,        64.4662680992
       63.6312609176,        64.4662680992
       63.9679342558,        64.4662680992
        64.304607594,        64.4662680992
       64.6412809322,        64.4662680992
       64.9779542703,        64.4662680992
       65.3146276085,        64.4662680992
       65.6513009467,        64.4662680992
       65.9879742849,        64.4662680992
       66.3246476231,        64.4662680992
       66.6613209613,        64.4662680992
       66.9979942995,        64.4662680992
       67.3346676377,        64.4662680992
       67.6713409758,        64.4662680992
        68.008014314,        64.4662680992
       68.3446876522,        64.4662680992
       68.6813609904,        64.4662680992
       69.0180343286,        64.4662680992
       69.3547076668,        64.4662680992
        69.691381005,        64.4662680992
