------------------------------------------------------------
 solve prev v1=0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
       87.1983945908,        32.7434474018
        87.535067929,        32.7434474018
       87.8717412671,        32.7434474018
       88.2084146053,        32.7434474018
       88.5450879435,        32.7434474018
       88.8817612817,        32.7434474018
       89.2184346199,        32.7434474018
       89.5551079581,        32.7434474018
       89.8917812963,        32.7434474018
       90.2284546345,        32.7434474018
       90.5651279727,        32.7434474018
       90.9018013108,        32.7434474018
        91.238474649,        32.7434474018
       91.5751479872,        32.7434474018
       91.9118213254,        32.7434474018
       92.2484946636,        32.7434474018
       92.5851680018,        32.7434474018
         92.92184134,        32.7434474018
       93.2585146782,        32.7434474018
       93.5951880163,        32.7434474018
       93.9318613545,        32.7434474018
       94.2685346927,        32.7434474018
       94.6052080309,        32.7434474018
       94.9418813691,        32.7434474018
       95.2785547073,        32.7434474018
       95.6152280455,        32.7434474018
       95.9519013837,        32.7434474018
       96.2885747219,        32.7434474018
         96.62524806,        32.7434474018
       96.9619213982,        32.7434474018
       97.2985947364,        32.7434474018
       97.6352680746,        32.7434474018
       97.9719414128,        32.7434474018
        98.308614751,        32.7434474018
       98.6452880892,        32.7434474018
       98.9819614274,        32.7434474018
       99.3186347655,        32.7434474018
       99.6553081037,        32.7434474018
       99.9919814419,        32.7434474018
        100.32865478,        32.7434474018
       100.665328118,        32.7434474018
       101.002001456,        32.7434474018
       101.338674795,        32.7434474018
       101.675348133,        32.7434474018
       102.012021471,        32.7434474018
       102.348694809,        32.7434474018
       102.685368147,        32.7434474018
       103.022041486,        32.7434474018
       103.358714824,        32.7434474018
       103.695388162,        32.7434474018
         104.0320615,        32.7434474018
       104.368734838,        32.7434474018
       104.705408177,        32.7434474018
       105.042081515,        32.7434474018
       105.378754853,        32.7434474018
       105.715428191,        32.7434474018
       106.052101529,        32.7434474018
       106.388774868,        32.7434474018
       106.725448206,        32.7434474018
       107.062121544,        32.7434474018
       107.398794882,        32.7434474018
        107.73546822,        32.7434474018
       108.072141558,        32.7434474018
       108.408814897,        32.7434474018
       108.745488235,        32.7434474018
       109.082161573,        32.7434474018
       109.418834911,        32.7434474018
       109.755508249,        32.7434474018
       110.092181588,        32.7434474018
       110.428854926,        32.7434474018
       110.765528264,        32.7434474018
       111.102201602,        32.7434474018
        111.43887494,        32.7434474018
       111.775548279,        32.7434474018
       112.112221617,        32.7434474018
       112.448894955,        32.7434474018
       112.785568293,        32.7434474018
       113.122241631,        32.7434474018
       113.458914969,        32.7434474018
       113.795588308,        32.7434474018
       114.132261646,        32.7434474018
       114.468934984,        32.7434474018
       114.805608322,        32.7434474018
        115.14228166,        32.7434474018
       115.478954999,        32.7434474018
       115.815628337,        32.7434474018
       116.152301675,        32.7434474018
       116.488975013,        32.7434474018
       116.825648351,        32.7434474018
        117.16232169,        32.7434474018
       117.498995028,        32.7434474018
       117.835668366,        32.7434474018
       118.172341704,        32.7434474018
       118.509015042,        32.7434474018
        118.84568838,        32.7434474018
       119.182361719,        32.7434474018
       119.519035057,        32.7434474018
       119.855708395,        32.7434474018
       120.192381733,        32.7434474018
       120.529055071,        32.7434474018
        120.86572841,        32.7434474018
       121.202401748,        32.7434474018
       121.539075086,        32.7434474018
       121.875748424,        32.7434474018
       122.212421762,        32.7434474018
       122.549095101,        32.7434474018
       122.885768439,        32.7434474018
       123.222441777,        32.7434474018
       123.559115115,        32.7434474018
       123.895788453,        32.7434474018
       124.232461791,        32.7434474018
        124.56913513,        32.7434474018
       124.905808468,        32.7434474018
