------------------------------------------------------------
 solve prev v1=-1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       187.190376033,    1.06083161307e+16
       187.527049371,    1.06074687456e+16
       187.863722709,    1.06066213605e+16
       188.200396047,    1.06057703124e+16
       188.537069385,    1.06049192642e+16
       188.873742724,    1.06040645389e+16
       189.210416062,    1.06032098136e+16
         189.5470894,    1.06023513972e+16
       189.883762738,    1.06014929807e+16
       190.220436076,    1.06006308589e+16
       190.557109415,    1.05997687372e+16
       190.893782753,     1.0598902896e+16
       191.230456091,    1.05980370548e+16
       191.567129429,    1.05971674801e+16
       191.903802767,    1.05962979053e+16
       192.240476106,    1.05954245827e+16
       192.577149444,    1.05945512601e+16
       192.913822782,    1.05936741755e+16
        193.25049612,    1.05927970908e+16
       193.587169458,    1.05919162299e+16
       193.923842796,    1.05910353689e+16
       194.260516135,    1.05901507172e+16
       194.597189473,    1.05892660655e+16
       194.933862811,    1.05883776088e+16
       195.270536149,    1.05874891522e+16
       195.607209487,     1.0586596876e+16
       195.943882826,    1.05857045999e+16
       196.280556164,      1.058480849e+16
       196.617229502,      1.058391238e+16
        196.95390284,    1.05830124217e+16
       197.290576178,    1.05821124634e+16
       197.627249517,    1.05812086423e+16
       197.963922855,    1.05803048211e+16
       198.300596193,    1.05793971226e+16
       198.637269531,    1.05784894241e+16
       198.973942869,    1.05775778337e+16
       199.310616207,    1.05766662433e+16
       199.647289546,    1.05757507463e+16
       199.983962884,    1.05748352492e+16
       200.320636222,     1.0573915831e+16
        200.65730956,    1.05729964128e+16
       200.993982898,    1.05720730587e+16
       201.330656237,    1.05711497046e+16
       201.667329575,    1.05702223999e+16
       202.004002913,    1.05692950951e+16
       202.340676251,    1.05683638251e+16
       202.677349589,     1.0567432555e+16
       203.014022928,    1.05664973047e+16
       203.350696266,    1.05655620545e+16
       203.687369604,    1.05646228092e+16
       204.024042942,     1.0563683564e+16
        204.36071628,    1.05627403089e+16
       204.697389618,    1.05617970538e+16
       205.034062957,    1.05608497739e+16
       205.370736295,    1.05599024941e+16
       205.707409633,    1.05589511746e+16
       206.044082971,    1.05579998551e+16
       206.380756309,    1.05570444809e+16
