------------------------------------------------------------
 solve prev gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       114.132261646,    1.09321871127e+16
       114.468934984,    1.09325697159e+16
       114.805608322,    1.09329447032e+16
        115.14228166,    1.09333196906e+16
       115.478954999,    1.09336871825e+16
       115.815628337,    1.09340546744e+16
       116.152301675,     1.0934414789e+16
       116.488975013,    1.09347749036e+16
       116.825648351,    1.09351277566e+16
        117.16232169,    1.09354806096e+16
       117.498995028,    1.09358263143e+16
       117.835668366,     1.0936172019e+16
       118.172341704,    1.09365106863e+16
       118.509015042,    1.09368493537e+16
        118.84568838,    1.09371810925e+16
       119.182361719,    1.09375128313e+16
       119.519035057,    1.09378377479e+16
       119.855708395,    1.09381626646e+16
       120.192381733,    1.09384808634e+16
       120.529055071,    1.09387990622e+16
        120.86572841,    1.09391106453e+16
       121.202401748,    1.09394222283e+16
       121.539075086,    1.09397272955e+16
       121.875748424,    1.09400323627e+16
       122.212421762,    1.09403310119e+16
       122.549095101,     1.0940629661e+16
       122.885768439,     1.0940921988e+16
       123.222441777,    1.09412143149e+16
       123.559115115,    1.09415004132e+16
       123.895788453,    1.09417865116e+16
       124.232461791,    1.09420664731e+16
        124.56913513,    1.09423464345e+16
       124.905808468,    1.09426203489e+16
       125.242481806,    1.09428942632e+16
       125.579155144,    1.09431622181e+16
       125.915828482,     1.0943430173e+16
       126.252501821,    1.09436922543e+16
       126.589175159,    1.09439543357e+16
       126.925848497,    1.09442106273e+16
       127.262521835,     1.0944466919e+16
       127.599195173,    1.09447175031e+16
       127.935868512,    1.09449680872e+16
        128.27254185,    1.09452130439e+16
       128.609215188,    1.09454580006e+16
       128.945888526,    1.09456974083e+16
       129.282561864,    1.09459368161e+16
       129.619235202,    1.09461707515e+16
       129.955908541,    1.09464046869e+16
       130.292581879,    1.09466332248e+16
       130.629255217,    1.09468617628e+16
       130.965928555,    1.09470849763e+16
       131.302601893,    1.09473081899e+16
       131.639275232,    1.09475261505e+16
        131.97594857,     1.0947744111e+16
       132.312621908,    1.09479568884e+16
       132.649295246,    1.09481696657e+16
       132.985968584,    1.09483773278e+16
       133.322641923,      1.094858499e+16
       133.659315261,    1.09487876033e+16
       133.995988599,    1.09489902166e+16
       134.332661937,    1.09491878459e+16
       134.669335275,    1.09493854752e+16
       135.006008614,    1.09495781836e+16
       135.342681952,    1.09497708921e+16
        135.67935529,    1.09499587412e+16
       136.016028628,    1.09501465904e+16
       136.352701966,    1.09503296403e+16
       136.689375304,    1.09505126903e+16
       137.026048643,    1.09506909995e+16
       137.362721981,    1.09508693087e+16
       137.699395319,    1.09510429341e+16
       138.036068657,    1.09512165596e+16
       138.372741995,    1.09513855567e+16
       138.709415334,    1.09515545538e+16
       139.046088672,    1.09517189767e+16
        139.38276201,    1.09518833995e+16
       139.719435348,    1.09520433005e+16
       140.056108686,    1.09522032015e+16
       140.392782025,    1.09523586318e+16
       140.729455363,    1.09525140621e+16
       141.066128701,    1.09526650713e+16
       141.402802039,    1.09528160805e+16
       141.739475377,    1.09529627168e+16
       142.076148715,    1.09531093531e+16
       142.412822054,    1.09532516633e+16
       142.749495392,    1.09533939736e+16
        143.08616873,    1.09535320031e+16
       143.422842068,    1.09536700327e+16
       143.759515406,    1.09538038257e+16
       144.096188745,    1.09539376188e+16
       144.432862083,    1.09540672179e+16
       144.769535421,     1.0954196817e+16
       145.106208759,    1.09543222636e+16
       145.442882097,    1.09544477103e+16
       145.779555436,    1.09545690444e+16
       146.116228774,    1.09546903785e+16
       146.452902112,    1.09548076389e+16
        146.78957545,    1.09549248993e+16
       147.126248788,    1.09550381233e+16
       147.462922126,    1.09551513473e+16
       147.799595465,    1.09552605711e+16
       148.136268803,    1.09553697949e+16
       148.472942141,    1.09554750533e+16
       148.809615479,    1.09555803117e+16
       149.146288817,    1.09556816383e+16
       149.482962156,    1.09557829649e+16
       149.819635494,     1.0955880392e+16
       150.156308832,    1.09559778191e+16
        150.49298217,    1.09560713778e+16
       150.829655508,    1.09561649365e+16
       151.166328847,    1.09562546566e+16
       151.503002185,    1.09563443767e+16
       151.839675523,    1.09564302869e+16
       152.176348861,    1.09565161971e+16
       152.513022199,    1.09565983246e+16
       152.849695537,    1.09566804522e+16
       153.186368876,    1.09567588235e+16
       153.523042214,    1.09568371947e+16
       153.859715552,    1.09569118345e+16
        154.19638889,    1.09569864744e+16
       154.533062228,    1.09570574066e+16
       154.869735567,    1.09571283389e+16
       155.206408905,    1.09571955861e+16
       155.543082243,    1.09572628334e+16
       155.879755581,    1.09573264172e+16
       156.216428919,    1.09573900009e+16
       156.553102258,    1.09574499414e+16
       156.889775596,    1.09575098819e+16
       157.226448934,    1.09575661982e+16
       157.563122272,    1.09576225145e+16
        157.89979561,    1.09576752247e+16
       158.236468949,    1.09577279348e+16
       158.573142287,    1.09577770555e+16
       158.909815625,    1.09578261762e+16
       159.246488963,    1.09578717232e+16
       159.583162301,    1.09579172702e+16
       159.919835639,     1.0957959258e+16
       160.256508978,    1.09580012457e+16
       160.593182316,    1.09580396877e+16
       160.929855654,    1.09580781296e+16
       161.266528992,    1.09581130379e+16
        161.60320233,    1.09581479462e+16
       161.939875669,    1.09581793321e+16
       162.276549007,     1.0958210718e+16
       162.613222345,    1.09582385914e+16
       162.949895683,    1.09582664648e+16
       163.286569021,    1.09582908346e+16
        163.62324236,    1.09583152045e+16
       163.959915698,    1.09583360785e+16
       164.296589036,    1.09583569525e+16
       164.633262374,    1.09583743374e+16
       164.969935712,    1.09583917223e+16
        165.30660905,    1.09584056235e+16
       165.643282389,    1.09584195248e+16
       165.979955727,    1.09584299468e+16
       166.316629065,    1.09584403689e+16
       166.653302403,    1.09584473151e+16
       166.989975741,    1.09584542613e+16
        167.32664908,    1.09584577338e+16
       167.663322418,    1.09584612064e+16
       167.999995756,    1.09584612064e+16
       168.336669094,    1.09584612064e+16
       168.673342432,    1.09584577338e+16
       169.010015771,    1.09584542613e+16
       169.346689109,    1.09584473151e+16
