------------------------------------------------------------
 solve prev gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
       206.717429648,      945936839430000
       207.054102986,      945697431843000
       207.390776324,      945458024257000
       207.727449662,      945213067713000
          208.064123,      944968111169000
       208.400796339,      944717527262000
       208.737469677,      944466943354000
       209.074143015,      944210651860000
       209.410816353,      943954360366000
       209.747489691,      943692279222000
        210.08416303,      943430198079000
       210.420836368,      943162243356000
       210.757509706,      942894288632000
       211.094183044,      942620374501000
       211.430856382,      942346460369000
        211.76752972,      942066499078000
       212.104203059,      941786537787000
       212.440876397,      941500439629000
       212.777549735,      941214341472000
       213.114223073,      940922014759000
       213.450896411,      940629688046000
        213.78756975,      940331039073000
       214.124243088,      940032390101000
       214.460916426,      939727323119000
       214.797589764,      939422256137000
       215.134263102,      939110673320000
       215.470936441,      938799090502000
       215.807609779,      938480891912000
       216.144283117,      938162693322000
       216.480956455,      937837776879000
       216.817629793,      937512860436000
       217.154303131,      937181121882000
        217.49097647,      936849383328000
       217.827649808,      936510716194000
       218.164323146,      936172049059000
       218.500996484,      935826344625000
       218.837669822,      935480640191000
       219.174343161,      935127787455000
       219.511016499,      934774934720000
       219.847689837,      934414820357000
       220.184363175,      934054705995000
       220.521036513,      933687214322000
       220.857709852,      933319722648000
        221.19438319,      932944735581000
       221.531056528,      932569748514000
       221.867729866,      932187145532000
       222.204403204,      931804542550000
       222.541076542,      931414200652000
       222.877749881,      931023858754000
       223.214423219,      930625652420000
       223.551096557,      930227446086000
       223.887769895,      929821247231000
       224.224443233,      929415048377000
       224.561116572,      929000726313000
        224.89778991,      928586404249000
       225.234463248,      928163825635000
       225.571136586,      927741247022000
       225.907809924,      927310275823000
       226.244483263,      926879304625000
       226.581156601,      926439802064000
       226.917829939,      926000299504000
       227.254503277,      925552124017000
       227.591176615,      925103948529000
       227.927849953,      924646955713000
       228.264523292,      924189962897000
        228.60119663,      923724005464000
       228.937869968,      923258048031000
       229.274543306,      922782975758000
       229.611216644,      922307903484000
       229.947889983,      921823563160000
       230.284563321,      921339222836000
       230.621236659,      920845458210000
       230.957909997,      920351693585000
       231.294583335,      919848345315000
       231.631256674,      919344997046000
       231.967930012,      918831902642000
        232.30460335,      918318808239000
       232.641276688,      917795802008000
       232.977950026,      917272795778000
       233.314623364,      916739708767000
       233.651296703,      916206621756000
       233.987970041,      915663281694000
       234.324643379,      915119941632000
       234.661316717,      914566172872000
       234.997990055,      914012404111000
       235.334663394,      913448027566000
       235.671336732,      912883651021000
        236.00801007,      912308484106000
       236.344683408,      911733317192000
       236.681356746,      911147173760000
       237.018030085,      910561030328000
       237.354703423,      909963720606000
       237.691376761,      909366410883000
       238.028050099,      908757741401000
       238.364723437,      908149071919000
       238.701396776,      907528845452000
       239.038070114,      906908618985000
       239.374743452,      906276634477000
        239.71141679,      905644649969000
       240.048090128,      905000702465000
       240.384763466,      904356754962000
       240.721436805,      903700635540000
       241.058110143,      903044516117000
       241.394783481,      902376011809000
       241.731456819,      901707507501000
       242.068130157,      901026401223000
       242.404803496,      900345294944000
       242.741476834,      899651365418000
       243.078150172,      898957435891000
        243.41482351,      898250457567000
       243.751496848,      897543479243000
       244.088170187,      896823222221000
       244.424843525,      896102965199000
       244.761516863,      895369195147000
       245.098190201,      894635425096000
       245.434863539,      893887903168000
       245.771536877,      893140381241000
       246.108210216,      892378863992000
       246.444883554,      891617346743000
       246.781556892,      890841586041000
        247.11823023,      890065825339000
       247.454903568,      889275568280000
       247.791576907,      888485311221000
       248.128250245,      887680300037000
       248.464923583,      886875288853000
       248.801596921,      886055260820000
       249.138270259,      885235232786000
       249.474943598,      884399920130000
       249.811616936,      883564607474000
       250.148290274,      882713737276000
       250.484963612,      881862867079000
        250.82163695,      880996161177000
       251.158310288,      880129455276000
       251.494983627,      879246630164000
       251.831656965,      878363805053000
       252.168330303,      877464571779000
       252.505003641,      876565338506000
       252.841676979,      875649402568000
       253.178350318,      874733466630000
       253.515023656,      873800527868000
       253.851696994,      872867589106000
       254.188370332,      871917341594000
        254.52504367,      870967094083000
       254.861717009,      869999226018000
       255.198390347,      869031357954000
       255.535063685,      868045551542000
       255.871737023,      867059745130000
       256.208410361,      866055676467000
       256.545083699,      865051607804000
       256.881757038,      864028946762000
       257.218430376,      863006285720000
       257.555103714,      861964695821000
       257.891777052,      860923105921000
        258.22845039,      859862244215000
       258.565123729,      858801382509000
       258.901797067,      857720899446000
       259.238470405,      856640416384000
       259.575143743,      855539955688000
       259.911817081,      854439494992000
        260.24849042,      853318693522000
       260.585163758,      852197892053000
       260.921837096,      851056379673000
       261.258510434,      849914867294000
       261.595183772,      848752266732000
        261.93185711,      847589666171000
       262.268530449,      846405592878000
       262.605203787,      845221519586000
       262.941877125,      844015581591000
       263.278550463,      842809643595000
       263.615223801,      841581441356000
        263.95189714,      840353239117000
       264.288570478,      839102365372000
       264.625243816,      837851491626000
       264.961917154,      836577531234000
       265.298590492,      835303570842000
       265.635263831,      834006100630000
       265.971937169,      832708630417000
       266.308610507,      831387219014000
       266.645283845,      830065807611000
       266.981957183,      828720015284000
       267.318630522,      827374222957000
        267.65530386,      826003601440000
       267.991977198,      824632979924000
       268.328650536,      823237072248000
       268.665323874,      821841164572000
       269.001997212,      820419504884000
       269.338670551,      818997845195000
       269.675343889,      817549958577000
       270.012017227,      816102071959000
       270.348690565,      814627474244000
       270.685363903,      813152876529000
       271.022037242,      811651074109000
        271.35871058,      810149271690000
       271.695383918,      808619761324000
       272.032057256,      807090250959000
       272.368730594,      805532519572000
       272.705403933,      803974788184000
       273.042077271,      802388312662000
       273.378750609,      800801837139000
       273.715423947,      799186084121000
       274.052097285,      797570331104000
       274.388770623,      795924756771000
       274.725443962,      794279182438000
         275.0621173,      792603232292000
       275.398790638,      790927282146000
       275.735463976,      789220390783000
       276.072137314,      787513499421000
       276.408810653,      785775090308000
       276.745483991,      784036681195000
       277.082157329,      782266166430000
       277.418830667,      780495651664000
       277.755504005,      778692431734000
       278.092177344,      776889211805000
       278.428850682,      775052675345000
        278.76552402,      773216138885000
       279.102197358,      771345662419000
       279.438870696,      769475185954000
       279.775544034,      767570133641000
       280.112217373,      765665081328000
       280.448890711,      763724804691000
       280.785564049,      761784528055000
       281.122237387,      759808365714000
       281.458910725,      757832203373000
       281.795584064,      755819480763000
       282.132257402,      753806758152000
        282.46893074,      751756787235000
       282.805604078,      749706816319000
