------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
       125.915828482,      546411981250000
       126.252501821,      547387855996000
       126.589175159,      548363730742000
       126.925848497,      549335475480000
       127.262521835,      550307220219000
       127.599195173,      551274850090000
       127.935868512,      552242479961000
        128.27254185,      553206010070000
       128.609215188,      554169540179000
       128.945888526,      555128985596000
       129.282561864,      556088431014000
       129.619235202,      557043806777000
       129.955908541,      557999182540000
       130.292581879,      558950503650000
       130.629255217,      559901824760000
       130.965928555,      560849106184000
       131.302601893,      561796387609000
       131.639275232,      562739644279000
        131.97594857,      563682900949000
       132.312621908,      564622147762000
       132.649295246,      565561394575000
       132.985968584,      566496646392000
       133.322641923,      567431898210000
       133.659315261,      568363169860000
       133.995988599,      569294441509000
       134.332661937,      570221747781000
       134.669335275,      571149054053000
       135.006008614,      572072409704000
       135.342681952,      572995765354000
        135.67935529,      573915185103000
       136.016028628,      574834604853000
       136.352701966,      575750103385000
       136.689375304,      576665601918000
       137.026048643,      577577193883000
       137.362721981,      578488785847000
       137.699395319,      579396485857000
       138.036068657,      580304185867000
       138.372741995,      581208008499000
       138.709415334,      582111831130000
       139.046088672,      583011790925000
        139.38276201,      583911750719000
       139.719435348,      584807862182000
       140.056108686,      585703973644000
       140.392782025,      586596251242000
       140.729455363,      587488528841000
       141.066128701,      588376987008000
       141.402802039,      589265445175000
       141.739475377,      590150098306000
       142.076148715,      591034751437000
       142.412822054,      591915613891000
       142.749495392,      592796476346000
        143.08616873,      593673562447000
       143.422842068,      594550648548000
       143.759515406,      595423972582000
       144.096188745,      596297296615000
       144.432862083,      597166872830000
       144.769535421,      598036449046000
       145.106208759,      598902291655000
       145.442882097,      599768134265000
       145.779555436,      600630257445000
       146.116228774,      601492380625000
       146.452902112,      602350798514000
        146.78957545,      603209216403000
       147.126248788,      604063943103000
       147.462922126,      604918669803000
       147.799595465,      605769719379000
       148.136268803,      606620768954000
       148.472942141,      607468155433000
       148.809615479,      608315541911000
       149.146288817,      609159279284000
       149.482962156,      610003016656000
       149.819635494,      610843118875000
       150.156308832,      611683221094000
        150.49298217,      612519702075000
       150.829655508,      613356183057000
       151.166328847,      614189056680000
       151.503002185,      615021930302000
       151.839675523,      615851210407000
       152.176348861,      616680490512000
       152.513022199,      617506190902000
       152.849695537,      618331891292000
       153.186368876,      619154025734000
       153.523042214,      619976160176000
       153.859715552,      620794742398000
        154.19638889,      621613324619000
       154.533062228,      622428368312000
       154.869735567,      623243412005000
       155.206408905,      624054930821000
       155.543082243,      624866449637000
       155.879755581,      625674457193000
       156.216428919,      626482464748000
       156.553102258,      627286974621000
       156.889775596,      628091484493000
       157.226448934,      628892510222000
       157.563122272,      629693535950000
        157.89979561,      630491091037000
       158.236468949,      631288646124000
       158.573142287,      632082744034000
       158.909815625,      632876841943000
       159.246488963,      633667496100000
       159.583162301,      634458150258000
       159.919835639,      635245374052000
       160.256508978,      636032597845000
       160.593182316,      636816404626000
       160.929855654,      637600211406000
       161.266528992,      638380614484000
        161.60320233,      639161017562000
       161.939875669,      639938030212000
       162.276549007,      640715042863000
       162.613222345,      641488678321000
       162.949895683,      642262313779000
       163.286569021,      643032585242000
        163.62324236,      643802856705000
       163.959915698,      644569777333000
       164.296589036,      645336697961000
       164.633262374,      646100280875000
       164.969935712,      646863863788000
        165.30660905,      647624122070000
       165.643282389,      648384380352000
       165.979955727,      649141327047000
       166.316629065,      649898273742000
       166.653302403,      650651921857000
       166.989975741,      651405569971000
        167.32664908,      652155932472000
       167.663322418,      652906294974000
       167.999995756,      653653384792000
       168.336669094,      654400474610000
       168.673342432,      655144304635000
       169.010015771,      655888134661000
       169.346689109,      656628717746000
       169.683362447,      657369300832000
       170.020035785,      658106649792000
       170.356709123,      658843998752000
       170.693382461,      659578126362000
         171.0300558,      660312253972000
       171.366729138,      661043172969000
       171.703402476,      661774091966000
       172.040075814,      662501815049000
       172.376749152,      663229538132000
       172.713422491,      663954077960000
       173.050095829,      664678617788000
       173.386769167,      665399986983000
       173.723442505,      666121356178000
       174.060115843,      666839567322000
       174.396789182,      667557778466000
        174.73346252,      668272844104000
       175.070135858,      668987909741000
       175.406809196,      669699842378000
       175.743482534,      670411775014000
       176.080155872,      671120587115000
       176.416829211,      671829399216000
       176.753502549,      672535103210000
       177.090175887,      673240807204000
       177.426849225,      673943415480000
       177.763522563,      674646023755000
       178.100195902,      675345548662000
        178.43686924,      676045073569000
       178.773542578,      676741527419000
       179.110215916,      677437981268000
       179.446889254,      678131376332000
       179.783562593,      678824771396000
       180.120235931,      679515119908000
       180.456909269,      680205468419000
       180.793582607,      680892782572000
       181.130255945,      681580096725000
       181.466929283,      682264388674000
       181.803602622,      682948680623000
        182.14027596,      683629962484000
       182.476949298,      684311244345000
       182.813622636,      684989528195000
       183.150295974,      685667812044000
       183.486969313,      686343109919000
       183.823642651,      687018407793000
       184.160315989,      687690731691000
       184.496989327,      688363055589000
       184.833662665,      689032417467000
       185.170336004,      689701779346000
       185.507009342,      690368191125000
        185.84368268,      691034602903000
       186.180356018,      691698076460000
       186.517029356,      692361550018000
       186.853702695,      693022097193000
       187.190376033,      693682644368000
       187.527049371,      694340276960000
       187.863722709,      694997909553000
       188.200396047,      695652639322000
       188.537069385,      696307369091000
       188.873742724,      696959207755000
       189.210416062,      697611046420000
         189.5470894,      698260005660000
       189.883762738,      698908964900000
       190.220436076,      699555056353000
       190.557109415,      700201147806000
       190.893782753,      700844383071000
       191.230456091,      701487618336000
       191.567129429,      702128008970000
       191.903802767,      702768399604000
       192.240476106,      703405957123000
       192.577149444,      704043514642000
       192.913822782,      704678250522000
