------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
       31.6472937897,       -1.36426481164
       31.9839671279,       -1.36376380964
       32.3206404661,       -1.36326280763
       32.6573138043,       -1.36276180563
       32.9939871425,       -1.36226080362
       33.3306604806,       -1.36175980162
       33.6673338188,       -1.36125879962
        34.004007157,       -1.36075779761
       34.3406804952,       -1.36025679561
       34.6773538334,        -1.3597557936
       35.0140271716,        -1.3592547916
       35.3507005098,        -1.3587537896
        35.687373848,       -1.35825278759
       36.0240471861,       -1.35775178559
       36.3607205243,       -1.35725078358
       36.6973938625,       -1.35674978158
       37.0340672007,       -1.35624877958
       37.3707405389,       -1.35574777757
       37.7074138771,       -1.35524677557
       38.0440872153,       -1.35474577356
       38.3807605535,       -1.35424477156
       38.7174338917,       -1.35374376956
       39.0541072298,       -1.35324276755
        39.390780568,       -1.35274176555
       39.7274539062,       -1.35224076354
       40.0641272444,       -1.35173976154
       40.4008005826,       -1.35123875954
       40.7374739208,       -1.35073775753
        41.074147259,       -1.35023675553
       41.4108205972,       -1.34973575352
       41.7474939353,       -1.34923475152
       42.0841672735,       -1.34873374952
       42.4208406117,       -1.34823274751
       42.7575139499,       -1.34773174551
       43.0941872881,        -1.3472307435
       43.4308606263,        -1.3467297415
       43.7675339645,        -1.3462287395
       44.1042073027,       -1.34572773749
       44.4408806409,       -1.34522673549
        44.777553979,       -1.34472573348
       45.1142273172,       -1.34422473148
       45.4509006554,       -1.34372372948
       45.7875739936,       -1.34322272747
       46.1242473318,       -1.34272172547
         46.46092067,       -1.34222072346
       46.7975940082,       -1.34171972146
       47.1342673464,       -1.34121871946
       47.4709406846,       -1.34071771745
       47.8076140227,       -1.34021671545
       48.1442873609,       -1.33971571344
       48.4809606991,       -1.33921471144
       48.8176340373,       -1.33871370944
       49.1543073755,       -1.33821270743
       49.4909807137,       -1.33771170543
       49.8276540519,       -1.33721070342
       50.1643273901,       -1.33670970142
       50.5010007282,       -1.33620869942
       50.8376740664,       -1.33570769741
       51.1743474046,       -1.33520669541
       51.5110207428,        -1.3347056934
        51.847694081,        -1.3342046914
       52.1843674192,        -1.3337036894
       52.5210407574,       -1.33320268739
       52.8577140956,       -1.33270168539
       53.1943874338,       -1.33220068338
       53.5310607719,       -1.33169968138
       53.8677341101,       -1.33119867938
       54.2044074483,       -1.33069767737
       54.5410807865,       -1.33019667537
       54.8777541247,       -1.32969567336
