------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       121.202401748,       -14.8809527569
       121.539075086,       -14.8809527569
       121.875748424,       -14.8809527569
       122.212421762,       -14.8809527569
       122.549095101,       -14.8809527569
       122.885768439,       -14.8809527569
       123.222441777,       -14.8809527569
       123.559115115,       -14.8809527569
       123.895788453,       -14.8809527569
       124.232461791,       -14.8809527569
        124.56913513,       -14.8809527569
       124.905808468,       -14.8809527569
       125.242481806,       -14.8809527569
       125.579155144,       -14.8809527569
       125.915828482,       -14.8809527569
       126.252501821,       -14.8809527569
       126.589175159,       -14.8809527569
       126.925848497,       -14.8809527569
       127.262521835,       -14.8809527569
       127.599195173,       -14.8809527569
       127.935868512,       -14.8809527569
        128.27254185,       -14.8809527569
       128.609215188,       -14.8809527569
       128.945888526,       -14.8809527569
       129.282561864,       -14.8809527569
       129.619235202,       -14.8809527569
       129.955908541,       -14.8809527569
       130.292581879,       -14.8809527569
       130.629255217,       -14.8809527569
       130.965928555,       -14.8809527569
       131.302601893,       -14.8809527569
       131.639275232,       -14.8809527569
        131.97594857,       -14.8809527569
       132.312621908,       -14.8809527569
       132.649295246,       -14.8809527569
       132.985968584,       -14.8809527569
       133.322641923,       -14.8809527569
       133.659315261,       -14.8809527569
       133.995988599,       -14.8809527569
       134.332661937,       -14.8809527569
       134.669335275,       -14.8809527569
       135.006008614,       -14.8809527569
       135.342681952,       -14.8809527569
        135.67935529,       -14.8809527569
       136.016028628,       -14.8809527569
       136.352701966,       -14.8809527569
       136.689375304,       -14.8809527569
       137.026048643,       -14.8809527569
       137.362721981,       -14.8809527569
       137.699395319,       -14.8809527569
       138.036068657,       -14.8809527569
       138.372741995,       -14.8809527569
       138.709415334,       -14.8809527569
       139.046088672,       -14.8809527569
        139.38276201,       -14.8809527569
       139.719435348,       -14.8809527569
       140.056108686,       -14.8809527569
       140.392782025,       -14.8809527569
       140.729455363,       -14.8809527569
       141.066128701,       -14.8809527569
       141.402802039,       -14.8809527569
       141.739475377,       -14.8809527569
       142.076148715,       -14.8809527569
       142.412822054,       -14.8809527569
       142.749495392,       -14.8809527569
        143.08616873,       -14.8809527569
       143.422842068,       -14.8809527569
       143.759515406,       -14.8809527569
       144.096188745,       -14.8809527569
       144.432862083,       -14.8809527569
       144.769535421,       -14.8809527569
       145.106208759,       -14.8809527569
       145.442882097,       -14.8809527569
       145.779555436,       -14.8809527569
       146.116228774,       -14.8809527569
       146.452902112,       -14.8809527569
        146.78957545,       -14.8809527569
       147.126248788,       -14.8809527569
       147.462922126,       -14.8809527569
       147.799595465,       -14.8809527569
       148.136268803,       -14.8809527569
       148.472942141,       -14.8809527569
       148.809615479,       -14.8809527569
       149.146288817,       -14.8809527569
       149.482962156,       -14.8809527569
       149.819635494,       -14.8809527569
       150.156308832,       -14.8809527569
        150.49298217,       -14.8809527569
       150.829655508,       -14.8809527569
       151.166328847,       -14.8809527569
       151.503002185,       -14.8809527569
       151.839675523,       -14.8809527569
       152.176348861,       -14.8809527569
       152.513022199,       -14.8809527569
       152.849695537,       -14.8809527569
       153.186368876,       -14.8809527569
       153.523042214,       -14.8809527569
       153.859715552,       -14.8809527569
        154.19638889,       -14.8809527569
       154.533062228,       -14.8809527569
       154.869735567,       -14.8809527569
       155.206408905,       -14.8809527569
       155.543082243,       -14.8809527569
       155.879755581,       -14.8809527569
       156.216428919,       -14.8809527569
       156.553102258,       -14.8809527569
       156.889775596,       -14.8809527569
       157.226448934,       -14.8809527569
       157.563122272,       -14.8809527569
        157.89979561,       -14.8809527569
       158.236468949,       -14.8809527569
       158.573142287,       -14.8809527569
       158.909815625,       -14.8809527569
       159.246488963,       -14.8809527569
       159.583162301,       -14.8809527569
       159.919835639,       -14.8809527569
       160.256508978,       -14.8809527569
       160.593182316,       -14.8809527569
       160.929855654,       -14.8809527569
       161.266528992,       -14.8809527569
        161.60320233,       -14.8809527569
       161.939875669,       -14.8809527569
       162.276549007,       -14.8809527569
       162.613222345,       -14.8809527569
       162.949895683,       -14.8809527569
       163.286569021,       -14.8809527569
        163.62324236,       -14.8809527569
       163.959915698,       -14.8809527569
       164.296589036,       -14.8809527569
       164.633262374,       -14.8809527569
       164.969935712,       -14.8809527569
        165.30660905,       -14.8809527569
       165.643282389,       -14.8809527569
       165.979955727,       -14.8809527569
       166.316629065,       -14.8809527569
       166.653302403,       -14.8809527569
       166.989975741,       -14.8809527569
        167.32664908,       -14.8809527569
       167.663322418,       -14.8809527569
       167.999995756,       -14.8809527569
       168.336669094,       -14.8809527569
       168.673342432,       -14.8809527569
       169.010015771,       -14.8809527569
       169.346689109,       -14.8809527569
       169.683362447,       -14.8809527569
       170.020035785,       -14.8809527569
       170.356709123,       -14.8809527569
       170.693382461,       -14.8809527569
         171.0300558,       -14.8809527569
       171.366729138,       -14.8809527569
       171.703402476,       -14.8809527569
       172.040075814,       -14.8809527569
       172.376749152,       -14.8809527569
       172.713422491,       -14.8809527569
       173.050095829,       -14.8809527569
       173.386769167,       -14.8809527569
       173.723442505,       -14.8809527569
       174.060115843,       -14.8809527569
       174.396789182,       -14.8809527569
        174.73346252,       -14.8809527569
       175.070135858,       -14.8809527569
       175.406809196,       -14.8809527569
       175.743482534,       -14.8809527569
       176.080155872,       -14.8809527569
       176.416829211,       -14.8809527569
       176.753502549,       -14.8809527569
       177.090175887,       -14.8809527569
       177.426849225,       -14.8809527569
       177.763522563,       -14.8809527569
       178.100195902,       -14.8809527569
        178.43686924,       -14.8809527569
       178.773542578,       -14.8809527569
       179.110215916,       -14.8809527569
       179.446889254,       -14.8809527569
       179.783562593,       -14.8809527569
       180.120235931,       -14.8809527569
       180.456909269,       -14.8809527569
       180.793582607,       -14.8809527569
       181.130255945,       -14.8809527569
       181.466929283,       -14.8809527569
       181.803602622,       -14.8809527569
        182.14027596,       -14.8809527569
       182.476949298,       -14.8809527569
       182.813622636,       -14.8809527569
       183.150295974,       -14.8809527569
       183.486969313,       -14.8809527569
       183.823642651,       -14.8809527569
       184.160315989,       -14.8809527569
       184.496989327,       -14.8809527569
       184.833662665,       -14.8809527569
       185.170336004,       -14.8809527569
       185.507009342,       -14.8809527569
        185.84368268,       -14.8809527569
       186.180356018,       -14.8809527569
       186.517029356,       -14.8809527569
       186.853702695,       -14.8809527569
       187.190376033,       -14.8809527569
       187.527049371,       -14.8809527569
       187.863722709,       -14.8809527569
       188.200396047,       -14.8809527569
       188.537069385,       -14.8809527569
       188.873742724,       -14.8809527569
       189.210416062,       -14.8809527569
         189.5470894,       -14.8809527569
       189.883762738,       -14.8809527569
       190.220436076,       -14.8809527569
       190.557109415,       -14.8809527569
       190.893782753,       -14.8809527569
       191.230456091,       -14.8809527569
       191.567129429,       -14.8809527569
       191.903802767,       -14.8809527569
       192.240476106,       -14.8809527569
       192.577149444,       -14.8809527569
       192.913822782,       -14.8809527569
        193.25049612,       -14.8809527569
       193.587169458,       -14.8809527569
       193.923842796,       -14.8809527569
       194.260516135,       -14.8809527569
       194.597189473,       -14.8809527569
       194.933862811,       -14.8809527569
       195.270536149,       -14.8809527569
       195.607209487,       -14.8809527569
       195.943882826,       -14.8809527569
       196.280556164,       -14.8809527569
