------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
       132.649295246,     -0.0939642104371
       132.985968584,     -0.0934632084331
       133.322641923,     -0.0929622064291
       133.659315261,     -0.0924612044251
       133.995988599,     -0.0919602024211
       134.332661937,     -0.0914592004171
       134.669335275,     -0.0909581984131
       135.006008614,     -0.0904571964091
       135.342681952,     -0.0899561944051
        135.67935529,     -0.0894551924011
       136.016028628,     -0.0889541903971
       136.352701966,     -0.0884531883931
       136.689375304,      -0.087952186389
       137.026048643,      -0.087451184385
       137.362721981,      -0.086950182381
       137.699395319,      -0.086449180377
       138.036068657,      -0.085948178373
       138.372741995,      -0.085447176369
       138.709415334,      -0.084946174365
       139.046088672,      -0.084445172361
        139.38276201,      -0.083944170357
       139.719435348,      -0.083443168353
       140.056108686,      -0.082942166349
       140.392782025,      -0.082441164345
       140.729455363,      -0.081940162341
       141.066128701,     -0.0814391603369
       141.402802039,     -0.0809381583329
       141.739475377,     -0.0804371563289
       142.076148715,     -0.0799361543249
       142.412822054,     -0.0794351523209
       142.749495392,     -0.0789341503169
        143.08616873,     -0.0784331483129
       143.422842068,     -0.0779321463089
       143.759515406,     -0.0774311443049
       144.096188745,     -0.0769301423009
       144.432862083,     -0.0764291402969
       144.769535421,     -0.0759281382929
       145.106208759,     -0.0754271362888
       145.442882097,     -0.0749261342848
       145.779555436,     -0.0744251322808
       146.116228774,     -0.0739241302768
       146.452902112,     -0.0734231282728
        146.78957545,     -0.0729221262688
       147.126248788,     -0.0724211242648
       147.462922126,     -0.0719201222608
       147.799595465,     -0.0714191202568
       148.136268803,     -0.0709181182528
       148.472942141,     -0.0704171162488
       148.809615479,     -0.0699161142448
       149.146288817,     -0.0694151122408
       149.482962156,     -0.0689141102367
       149.819635494,     -0.0684131082327
       150.156308832,     -0.0679121062287
        150.49298217,     -0.0674111042247
       150.829655508,     -0.0669101022207
       151.166328847,     -0.0664091002167
       151.503002185,     -0.0659080982127
       151.839675523,     -0.0654070962087
       152.176348861,     -0.0649060942047
       152.513022199,     -0.0644050922007
       152.849695537,     -0.0639040901967
       153.186368876,     -0.0634030881927
       153.523042214,     -0.0629020861886
       153.859715552,     -0.0624010841846
        154.19638889,     -0.0619000821806
       154.533062228,     -0.0613990801766
       154.869735567,     -0.0608980781726
       155.206408905,     -0.0603970761686
       155.543082243,     -0.0598960741646
       155.879755581,     -0.0593950721606
       156.216428919,     -0.0588940701566
       156.553102258,     -0.0583930681526
       156.889775596,     -0.0578920661486
       157.226448934,     -0.0573910641446
       157.563122272,     -0.0568900621406
        157.89979561,     -0.0563890601365
       158.236468949,     -0.0558880581325
       158.573142287,     -0.0553870561285
       158.909815625,     -0.0548860541245
       159.246488963,     -0.0543850521205
       159.583162301,     -0.0538840501165
       159.919835639,     -0.0533830481125
       160.256508978,     -0.0528820461085
       160.593182316,     -0.0523810441045
       160.929855654,     -0.0518800421005
       161.266528992,     -0.0513790400965
        161.60320233,     -0.0508780380925
       161.939875669,     -0.0503770360884
       162.276549007,     -0.0498760340844
       162.613222345,     -0.0493750320804
       162.949895683,     -0.0488740300764
       163.286569021,     -0.0483730280724
        163.62324236,     -0.0478720260684
       163.959915698,     -0.0473710240644
       164.296589036,     -0.0468700220604
       164.633262374,     -0.0463690200564
       164.969935712,     -0.0458680180524
        165.30660905,     -0.0453670160484
       165.643282389,     -0.0448660140444
       165.979955727,     -0.0443650120404
       166.316629065,     -0.0438640100363
       166.653302403,     -0.0433630080323
       166.989975741,     -0.0428620060283
        167.32664908,     -0.0423610040243
       167.663322418,     -0.0418600020203
       167.999995756,     -0.0413590000163
       168.336669094,     -0.0408579980123
       168.673342432,     -0.0403569960083
       169.010015771,     -0.0398559940043
       169.346689109,     -0.0393549920003
       169.683362447,     -0.0388539899963
       170.020035785,     -0.0383529879923
       170.356709123,     -0.0378519859882
       170.693382461,     -0.0373509839842
         171.0300558,     -0.0368499819802
       171.366729138,     -0.0363489799762
       171.703402476,     -0.0358479779722
       172.040075814,     -0.0353469759682
